# no	arxiv	source	title per Semantic Scholar	entry
40	1503.03585	s2	Deep Unsupervised Learning using Nonequilibrium Thermodynamics	J. Sohl-Dickstein, E. Weiss, N. Maheswaranathan, and S. Ganguli (2015) Deep unsupervised learning using nonequilibrium t
41	2510.01378	id		K. Song, J. Kim, S. Chen, Y. Du, S. Kakade, and V. Sitzmann (2025) Selective underfitting in diffusion models. arXiv pre
42	2011.13456	id		Y. Song, J. Sohl-Dickstein, D. P. Kingma, A. Kumar, S. Ermon, and B. Poole (2020) Score-based generative modeling throug
43	2104.09864	s2	RoFormer: Enhanced Transformer with Rotary Position Embedding	J. Su, M. Ahmed, Y. Lu, S. Pan, W. Bo, and Y. Liu (2024) Roformer: enhanced transformer with rotary position embedding. 
44	2410.22366	s2	One-Step is Enough: Sparse Autoencoders for Text-to-Image Diffusion Models	V. Surkov, C. Wendler, A. Mari, M. Terekhov, J. Deschenaux, R. West, C. Gulcehre, and D. Bau (2025) One-step is enough: 
45	2503.09446	s2	Sparse Autoencoder as a Zero-Shot Classifier for Concept Erasing in Text-to-Image Diffusion Models	Z. Tian, S. Nan, M. Xu, S. Zhai, W. Qu, J. Liu, R. Jia, and J. Zhang (2025) Sparse autoencoder as a zero-shot classifier
46	2309.02390	id		V. Varma, R. Shah, Z. Kenton, J. Kramár, and R. Kumar (2023) Explaining grokking through circuit efficiency. arXiv prepr
47	2212.07677	s2	Transformers learn in-context by gradient descent	J. Von Oswald, E. Niklasson, E. Randazzo, J. Sacramento, A. Mordvintsev, A. Zhmoginov, and M. Vladymyrov (2023) Transfor
48	2503.20314	id		T. Wan, A. Wang, B. Ai, B. Wen, C. Mao, C. Xie, D. Chen, F. Yu, H. Zhao, J. Yang, et al. (2025) Wan: open and advanced l
49	2211.00593	id		K. Wang, A. Variengien, A. Conmy, B. Shlegeris, and J. Steinhardt (2022) Interpretability in the wild: a circuit for ind
50	2509.20328	id		T. Wiedemer, Y. Li, P. Vicol, S. S. Gu, N. Matarese, K. Swersky, B. Kim, P. Jaini, and R. Geirhos (2025) Video models ar
51		s2	generalization from first	T. Wiedemer, P. Mayilvahanan, M. Bethge, and W. Brendel (2023) Compositional generalization from first principles. Exter
52	2511.18870	id		B. Wu, C. Zou, C. Li, D. Huang, F. Yang, H. Tan, J. Peng, J. Wu, J. Xiong, J. Jiang, et al. (2025) HunyuanVideo 1.5 tech
53	2303.13336	id		C. Zhang, C. Zhang, S. Zheng, M. Zhang, M. Qamar, S. Bae, and I. S. Kweon (2023) A survey on audio diffusion models: tex
54	2206.05564	id		Q. Zhang, M. Tao, and Y. Chen (2022) Gddim: generalized denoising diffusion implicit models. arXiv preprint arXiv:2206.0
55	2306.17844	s2	The Clock and the Pizza: Two Stories in Mechanistic Explanation of Neural Networks	Z. Zhong, Z. Liu, M. Tegmark, and J. Andreas (2023) The clock and the pizza: two stories in mechanistic explanation of n
